title,description,genre_filtered,title_lower
The Perks of Being a Wallflower,standing fringes life offers unique perspective comes time seewhat looks like dance floor haunting novel dilemma passivity passion marks stunning debut provocative new voice contemporary fiction perks wallflowerthis story like grow high school intimate diary charlie letters singular unique hilarious devastating may know lives may know writing know world shares caught trying live life trying run puts strange course uncharted territory world first dates mixed tapes family dramas new friends world sex drugs rocky horror show one requires perfect song perfect drive feel infinite charlie stephen chbosky created deeply affecting coming age story powerful novel spirit back wild poignant roller coaster days known growing back cover perks wallflower,romance,the perks of being a wallflower
The Great Gatsby,alternate cover edition great gatsby scott fitzgerald third book stands supreme achievement career exemplary novel jazz age acclaimed generations readers story fabulously wealthy jay gatsby new love beautiful daisy buchanan lavish parties long island time new york times noted gin national drink sex national obsession exquisitely crafted tale america great gatsby one great classics twentieth century literature back cover great gatsby,romance,the great gatsby
Ender's Game,andrew ender wiggin thinks playing computer simulated war games fact engaged something far desperate result genetic experimentation ender may military genius earth desperately needs war alien enemy seeking destroy human life way find throw ender ever harsher training chip away find diamond inside destroy utterly ender wiggin six years old begins grow fast ender result experiment war buggers raging hundred years quest perfect general underway almost long ender two older siblings peter valentine every bit unusual different ways peter uncontrollably violent valentine nearly lacks capability violence altogether neither found suitable military purpose driven jealousy ender inbred drive power peter seeks control political process become ruler valentine abilities turn toward subtle control beliefs commoner elite alike powerfully convincing essays hiding youth identities behind anonymity computer networks two begin working together shape destiny earth earth future brother ender fails source hatrack com ender game,fantasy,ender's game
Harry Potter and the Sorcerer's Stone,harry potter life miserable parents dead stuck heartless relatives force live tiny closet stairs fortune changes receives letter tells truth wizard mysterious visitor rescues relatives takes new home hogwarts school witchcraft wizardry lifetime bottling magical powers harry finally feels like normal kid even within wizarding community special boy lived person ever survived killing curse inflicted evil lord voldemort launched brutal takeover wizarding world vanish failing kill harry though harry first year hogwarts best life everything perfect dangerous secret object hidden within castle walls harry believes responsibility prevent falling evil hands bring contact forces terrifying ever could imagined full sympathetic characters wildly imaginative situations countless exciting details first installment series assembles unforgettable magical world sets stage many high stakes adventures come harry potter sorcerer stone,fantasy,harry potter and the sorcerer's stone
The Little Prince,pbs great american read top stories widely read universally cherished children adults alike little prince richard howard translation beloved classic beautifully reflects saint exup unique gifted style howard acclaimed poet one preeminent translators time excelled bringing english text close possible french language style important spirit artwork edition restored match detail color saint exup original artwork combining richard howard translation restored original art definitive english language edition little prince capture hearts readers ages little prince,fantasy,the little prince
Charlotte's Web,beloved book white author stuart little trumpet swan classic children literature perfect high quality paperback features vibrant illustrations colorized rosemary wells pig humble radiant words charlotte web high zuckerman barn charlotte spiderweb tells feelings little pig named wilbur simply wants friend also express love girl named fern saved wilbur life born runt litter white newbery honor book tender novel friendship love life death continue enjoyed generations come edition contains newly color illustrations garth williams acclaimed illustrator white stuart little laura ingalls wilder little house series among many books charlotte web,fantasy,charlotte's web
Brave New World,brave new world dystopian novel english author aldous huxley written published largely set futuristic world state inhabited genetically modified citizens intelligence based social hierarchy novel anticipates huge scientific advancements reproductive technology sleep learning psychological manipulation classical conditioning combined make dystopian society challenged single individual story protagonist brave new world,fantasy,brave new world
One Hundred Years of Solitude,brilliant bestselling landmark novel tells story buendia family chronicles irreconcilable conflict desire solitude need love rich imaginative prose come define entire genre known magical realism one hundred years solitude,fantasy,one hundred years of solitude
The Lightning Thief,alternate cover found herepercy jackson good kid seem focus schoolwork control temper lately away boarding school getting worse percy could sworn pre algebra teacher turned monster tried kill percy mom finds knows time knew truth came one place safe sends percy camp half blood summer camp demigods long island learns father never knew poseidon god sea soon mystery unfolds together friends one satyr demigod daughter athena percy sets quest across united states reach gates underworld located recording studio hollywood prevent catastrophic war gods lightning thief,fantasy,the lightning thief
The Secret Garden,one delightful enduring classics children literature secret garden victorian author frances hodgson burnett remained firm favorite children world ever since made first appearance initially published serial story american magazine brought novel form plot centers round mary lennox young english girl returns england india suffered immense trauma losing parents cholera epidemic however memories parents pleasant selfish neglectful pleasure seeking couple mary given care uncle archibald craven never met travels home misselthwaite manor located gloomy yorkshire vast change sunny warm climate used arrives rude stubborn given stormy temper tantrums however nature undergoes gradual transformation learns tragedies befallen strict disciplinarian uncle earlier feared despised away home mary discovers charming walled garden always kept locked mystery deepens hears sounds sobbing somewhere within uncle vast mansion kindly servants ignore queries pretend heard spiking mary curiosity secret garden appeals young old alike wonderful elements mystery spirituality charming characters authentic rendering childhood emotions experiences commonsense truth kindness compassion belief essential goodness human beings lie heart unforgettable story best known frances hodgson burnett works though definitely heard read novel little lord fauntleroy book adapted extensively stage film television translated world major languages japanese anime version launched television japan remains popular beloved story child journey maturity must read every child parent teacher anyone would enjoy fascinating glimpse childhood one delightful enduring classics children literature secret garden victorian author frances hodgson burnett remained firm favorite children world ever since made first appearance initially published serial story american magazine brought novel form secret garden,fantasy,the secret garden
A Wrinkle in Time,dark stormy night wild night strange visitor comes murry house beckons meg brother charles wallace friend calvin keefe dangerous extraordinary adventure one threaten lives universe winner newbery medal wrinkle time first book madeleine engle classic time quintet wrinkle time,fantasy,a wrinkle in time
A Game of Thrones,first volume george martin magnificent cycle novels includes clash kings storm swords whole series comprises genuine masterpiece modern fantasy bringing together best genre offer magic mystery intrigue romance adventure fill pages transport world unlike ever experienced already hailed classic george martin stunning series destined stand one great achievements imaginative fiction game throneslong ago time forgotten preternatural event threw seasons balance land summers last decades winters lifetime trouble brewing cold returning frozen wastes north winterfell sinister supernatural forces massing beyond kingdom protective wall center conflict lie starks winterfell family harsh unyielding land born sweeping land brutal cold distant summertime kingdom plenty tale lords ladies soldiers sorcerers assassins bastards come together time grim omens enigmatic band warriors bear swords human metal tribe fierce wildlings carry men madness cruel young dragon prince barters sister win back throne determined woman undertakes treacherous journeys amid plots counterplots tragedy betrayal victory terror fate starks allies enemies hangs perilously balance endeavors win deadliest conflicts game thrones source georgerrmartin com game thrones,fantasy,a game of thrones
Where the Wild Things Are,max wild naughty boy sent bed without supper exhausted mother room imagines sailing far away land wild things instead eating wild things make max king wild things,fantasy,where the wild things are
Green Eggs and Ham,like green eggs ham asks sam beginner book seuss house mouse boat goat train tree sam keeps asking persistently unmistakable characters signature rhymes seuss beloved favorite cemented place children classic famous cumulative tales list places enjoy green eggs ham friends enjoy gets longer longer follow sam insists unusual treat indeed delectable snack savored everywhere every way originally created seuss beginner books encourage children read simple words illustrations give clues meaning green eggs ham,fantasy,green eggs and ham
The Odyssey,sing man muse man twists turnsdriven time course plunderedthe hallowed heights troy begins robert fagles magnificent translation odyssey jasper griffin new york times review books hails distinguished achievement iliad world greatest war odyssey literature grandest evocation everyman journey though life odysseus reliance wit wiliness survival encounters divine natural forces ten year voyage home ithaca trojan war timeless human story individual test moral endurance myths legends retold fagles captured energy poetry homer original bold contemporary idiom given odyssey read aloud savor treasure sheer lyrical mastery renowned classicist bernard knox superb introduction textual commentary provide new insights background information general reader scholar alike intensifying strength fagles translation odyssey delight classicist public large captivate new generation homer students robert fagles winner pen ralph manheim medal translation academy award literature american academy arts letters presents homer best loved accessible poem stunning new modern verse translation odyssey,fantasy,the odyssey
Life of Pi,life fantasy adventure novel yann martel published protagonist piscine molitor patel tamil boy pondicherry explores issues spirituality practicality early age survives days shipwreck stranded boat pacific ocean bengal tiger named richard parker life,fantasy,life of pi
Water for Elephants,winner bookbrowse award popular book atmospheric gritty compelling novel star crossed lovers set circus world circa bestselling author riding lessons jacob jankowski recently orphaned suddenly adrift jumps onto passing train enters world freaks drifters misfits second rate circus struggling survive great depression making one night stands town endless town veterinary student almost earned degree jacob put charge caring circus menagerie meets marlena beautiful young star equestrian act married august charismatic twisted animal trainer also meets rosie elephant seems untrainable discovers way reach beautifully written water elephants illuminated wonderful sense time place tells story love two people overcomes incredible odds world even love luxury afford water elephants,romance,water for elephants
Lolita,humbert humbert scholar aesthete romantic fallen completely utterly love lolita haze landlady gum snapping silky skinned twelve year old daughter reluctantly agreeing marry mrs haze close lolita humbert suffers greatly pursuit romance starts looking attention elsewhere carry desperate cross country misadventure name love hilarious flamboyant heart breaking full ingenious word play lolita immaculate unforgettable masterpiece obsession delusion lust lolita,romance,lolita
Slaughterhouse-Five,selected modern library one best novels time slaughterhouse five american classic one world great antiwar books centering infamous firebombing dresden billy pilgrim odyssey time reflects mythic journey fractured lives search meaning fear slaughterhouse five,fantasy,slaughterhouse-five
The Handmaid's Tale,offred handmaid republic gilead may leave home commander wife day walk food markets whose signs instead words women longer allowed read must lie back month pray commander makes pregnant age declining births offred handmaids valued ovaries viable offred remember years lived made love husband luke played protected daughter job money access knowledge gone funny unexpected horrifying altogether convincing handmaid tale scathing satire dire warning tour force handmaid tale,fantasy,the handmaid's tale
The Giver,twelve year old jonas lives seemingly ideal world given life assignment receiver begin understand dark secrets behind fragile community giver,fantasy,the giver
Dune,set desert planet arrakis dune story boy paul atreides heir noble family tasked ruling inhospitable world thing value melange drug capable extending life enhancing consciousness coveted across known universe melange prize worth killing house atreides betrayed destruction paul family set boy journey toward destiny greater could ever imagined evolves mysterious man known muad dib bring fruition humankind ancient unattainable dream dune,fantasy,dune
The Pillars of the Earth,ken follett known worldwide master split second suspense beloved bestselling book tells magnificent tale twelfth century monk driven seemingly impossible build greatest gothic cathedral world ever known everything readers expect follett intrigue fast paced action passionate romance makes pillars earth extraordinary time twelfth century place feudal england subject building glorious cathedral follett created crude flamboyant england middle ages every detail vast forests walled towns castles monasteries become familiar landscape richly imagined intricately interwoven backdrop filled ravages war rhythms daily life master storyteller draws reader irresistibly intertwined lives characters dreams labors loves tom master builder aliena ravishingly beautiful noblewoman philip prior kingsbridge jack artist stone ellen woman forest casts terrifying curse humble stonemason imperious monarch character brought vividly life building cathedral almost eerie artistry unschooled stonemasons center drama around site construction follett weaves story betrayal revenge love begins public hanging innocent man ends humiliation king movie tie edition alternate cover edition pillars earth,fantasy,the pillars of the earth
The Adventures of Sherlock Holmes,adventures sherlock holmes series short stories made fortunes strand magazine first published immense popularity sherlock holmes watson detective height powers volume full famous cases including red headed league blue carbuncle speckled band although holmes gained reputation infallibility conan doyle showed realism feminism great detective defeated irene adler woman first story scandal bohemia editor volume richard lancelyn green editor uncollected sherlock holmes adventures sherlock holmes john michael gibson compiled soho series bibliography conan doyle adventures sherlock holmes,crime,the adventures of sherlock holmes
Watership Down,librarian note see alternate cover edition set england downs idyllic rural landscape stirring tale adventure courage survival follows band special creatures flight intrusion man certain destruction home led stouthearted pair friends journey forth native sandleford warren harrowing trials posed predators adversaries mysterious promised land perfect society watership,fantasy,watership down
Little Women,generations readers young old male female fallen love march sisters louisa may alcott popular enduring novel little women talented tomboy author tragically frail beth beautiful meg romantic spoiled amy united devotion struggles survive new england civil war secret alcott based little women early life father freethinking reformer abolitionist bronson alcott hobnobbed eminent male authors emerson thoreau hawthorne louisa supported sisters woman work including sewing laundry acting domestic servant soon discovered could make money writing little women brought lasting fame fortune far girl book publisher requested explores timeless themes love death war peace conflict personal ambition family responsibilities clash cultures europe america little women,romance,little women
The Bell Jar,bell jar chronicles crack esther greenwood brilliant beautiful enormously talented successful slowly going maybe last time sylvia plath masterfully draws reader esther breakdown intensity esther insanity becomes completely real even rational probable accessible experience going movies deep penetration dark harrowing corners psyche extraordinary accomplishment made bell jar haunting american classic bell jar,psychology,the bell jar
Harry Potter and the Deathly Hallows,harry potter leaving privet drive last time climbs sidecar hagrid motorbike take skies knows lord voldemort death eaters far behind protective charm kept safe broken dark lord breathing fear everything loves knows keep hiding stop voldemort harry knows must find remaining horcruxes destroy face enemy one final battle jkrowling com harry potter deathly hallows,fantasy,harry potter and the deathly hallows
One Flew Over the Cuckoo's Nest,tyrannical nurse ratched rules ward oregon state mental hospital strict unbending routine unopposed patients remain cowed mind numbing medication threat electric shock therapy regime disrupted arrival mcmurphy swaggering fun loving trickster devilish grin resolves oppose rules behalf fellow inmates struggle seen eyes chief bromden seemingly mute half indian patient understands mcmurphy heroic attempt battle powers keep imprisoned ken kesey extraordinary first novel exuberant ribald devastatingly honest portrayal boundaries sanity madness one flew cuckoo nest,psychology,one flew over the cuckoo's nest
Anna Karenina,acclaimed many world greatest novel anna karenina provides vast panorama contemporary life russia humanity general tolstoy uses intense imaginative insight create memorable characters literature anna sophisticated woman abandons empty existence wife karenin turns count vronsky fulfil passionate nature tragic consequences levin reflection tolstoy often expressing author views convictions throughout tolstoy points moral merely inviting judge watch rosemary edmonds comments leaves shifting patterns kaleidoscope bring home meaning brooding words following title vengeance mine repay anna karenina,romance,anna karenina
Matilda,matilda little girl far good true age five half knocking double digit multiplication problems blitz reading dickens even remarkably classmates love even though super nerd teacher pet everything perfect matilda world starters two idiotic self centered parents ever lived large busty nightmare school principal miss trunchbull former hammer throwing champion flings children approximately sympathetic bulldozer fortunately matilda inner resources deal annoyances astonishing intelligence saintly patience innate predilection revenge warms practical jokes aimed hapless parents true test comes rallies defense teacher sweet miss honey diabolical trunchbull never doubt matilda carry day even wonderful story far predictable roald dahl keeping plot moving imaginatively also unerring ear emotional truth reader cares matilda addition gifts real feelings matilda,fantasy,matilda
1984,among seminal texts century nineteen eighty four rare work grows haunting futuristic purgatory becomes real published book offers political satirist george orwell nightmarish vision totalitarian bureaucratic world one poor stiff attempt find individuality brilliance novel orwell prescience modern life ubiquity television distortion language ability construct thorough version hell required reading students since published ranks among terrifying novels ever written,fantasy,1984
The Road,searing postapocalyptic novel destined become cormac mccarthy masterpiece father son walk alone burned america nothing moves ravaged landscape save ash wind cold enough crack stones snow falls gray sky dark destination coast although know anything awaits nothing pistol defend lawless bands stalk road clothes wearing cart scavenged food road profoundly moving story journey boldly imagines future hope remains father son world entire sustained love awesome totality vision unflinching meditation worst best capable ultimate destructiveness desperate tenacity tenderness keeps two people alive face total devastation road,horror,the road
Angela's Ashes,imbued every page frank mccourt astounding humor compassion glorious book bears marks classic look back childhood wonder managed survive course miserable childhood happy childhood hardly worth worse ordinary miserable childhood miserable irish childhood worse yet miserable irish catholic childhood begins pulitzer prize winning memoir frank mccourt born depression era brooklyn recent irish immigrants raised slums limerick ireland frank mother angela money feed children since frank father malachy rarely works drinks wages yet malachy exasperating irresponsible beguiling nurture frank appetite one thing provide story frank lives father tales cuchulain saved ireland angel seventh step brings mother babies perhaps story accounts frank survival wearing rags diapers begging pig head christmas dinner gathering coal roadside light fire frank endures poverty near starvation casual cruelty relatives neighbors yet lives tell tale eloquence exuberance remarkable forgiveness angela ashes imbued every page frank mccourt astounding humor compassion glorious book bears marks classic angela ashes,history,angela's ashes
The Golden Compass,lyra rushing cold far north witch clans armored bears rule north gobblers take children steal including friend roger north fearsome uncle asriel trying build bridge parallel world one small girl make difference great terrible endeavors lyra savage schemer liar fierce true champion roger asriel could want lyra know help one betray golden compass,fantasy,the golden compass
Harry Potter and the Prisoner of Azkaban,harry potter third year hogwarts full new dangers convicted murderer sirius black broken azkaban prison seems harry hogwarts patrolled dementors azkaban guards hunting sirius harry imagine sirius matter evil lord voldemort could frightening dementors terrible power fill anyone come across aching loneliness despair meanwhile life continues usual hogwarts top line broom takes harry success quidditch sport wizarding world new heights cute fourth year student catches eye becomes close new defense dark arts teacher childhood friend father yet despite relative safety life hogwarts best efforts dementors threat sirius black grows ever closer harry learned anything education wizardry things often seem tragic revelations heartwarming surprises high stakes magical adventures await boy wizard funny poignant third installment beloved series scholastic com harry potter prisoner azkaban,fantasy,harry potter and the prisoner of azkaban
The Notebook,set amid austere beauty north carolina coast begins story noah calhoun rural southerner recently returned second world war noah restoring plantation home former glory haunted images beautiful girl met fourteen years earlier girl loved like unable find yet unwilling forget summer spent together noah content live memories unexpectedly returns town see like puzzle within puzzle story noah allie beginning unfolds tale miraculously becomes something different much higher stakes result deeply moving portrait love tender moments fundamental changes affect story miracles emotions stay forever notebook,romance,the notebook
Winnie-the-Pooh,adventures christopher robin friends pooh bear uses balloon get honey piglet meets heffalump eeyore birthday winnie pooh,fantasy,winnie-the-pooh
Harry Potter and the Goblet of Fire,harry potter midway training wizard coming age harry wants get away pernicious dursleys international quidditch cup hermione ron weasleys wants dream cho chang crush maybe dream wants find mysterious event supposed take place hogwarts year event involving two rival schools magic competition happened hundreds years wants normal fourteen year old wizard unfortunately harry potter normal even wizarding standards case different deadly harry potter goblet fire,fantasy,harry potter and the goblet of fire
Harry Potter and the Half-Blood Prince,war voldemort going well even muggle governments noticing ron scans obituary pages daily prophet looking familiar names dumbledore absent hogwarts long stretches time order phoenix already suffered losses yet wars life goes weasley twins expand business sixth year students learn apparate lose eyebrows process teenagers flirt fight fall love classes never straightforward harry receives extraordinary help mysterious half blood prince home front takes center stage multilayered sixth installment story harry potter hogwarts harry search full complete story boy became lord voldemort thereby find may vulnerability harry potter half blood prince,fantasy,harry potter and the half-blood prince
The Master and Margarita,first complete annotated english translation mikhail bulgakov comic masterpiece audacious revision stories faust pontius pilate master margarita recognized one essential classics modern russian literature novel vision soviet life ferociously accurate could published author lifetime appeared censored edition truths enduring language become part common russian speech one hot spring devil arrives moscow accompanied retinue includes beautiful naked witch immense talking black cat fondness chess vodka visitors quickly wreak havoc city refuses believe either god satan also bring peace two unhappy muscovites one master writer pilloried daring write novel christ pontius pilate margarita loves master deeply willing literally hell ensues novel inexhaustible energy humor philosophical depth work whose nuances emerge first time diana burgin katherine tiernan connor splendid english version back cover master margarita,fantasy,the master and margarita
The Name of the Wind,told kvothe voice tale magically gifted young man grows notorious wizard world ever seen intimate narrative childhood troupe traveling players years spent near feral orphan crime ridden city daringly brazen yet successful bid enter legendary school magic life fugitive murder king form gripping coming age story unrivaled recent literature high action story written poet hand name wind masterpiece transport readers body mind wizard name wind,fantasy,the name of the wind
Eragon,alternate cover edition found one boy one dragon world adventure eragon finds polished blue stone forest thinks lucky discovery poor farm boy perhaps buy family meat winter stone brings dragon hatchling eragon soon realizes stumbled upon legacy nearly old empire overnight simple life shattered thrust perilous new world destiny magic power ancient sword advice old storyteller guidance eragon fledgling dragon must navigate dangerous terrain dark enemies empire ruled king whose evil knows bounds eragon take mantle legendary dragon riders fate empire may rest hands eragon,fantasy,eragon
Charlie and the Chocolate Factory,charlie bucket wonderful adventure begins finds one willy wonka precious golden tickets wins whole day inside mysterious chocolate factory little know surprises store back cover charlie chocolate factory,fantasy,charlie and the chocolate factory
Flowers for Algernon,story mentally disabled man whose experimental quest intelligence mirrors algernon extraordinary lab mouse diary entries charlie tells brain operation increases changes life experimental procedure takes effect charlie intelligence expands surpasses doctors engineered metamorphosis experiment seems scientific breakthrough paramount importance algernon begins sudden unexpected deterioration happen charlie flowers algernon,psychology,flowers for algernon
On the Road,quintessential novel america beat generation road chronicles jack kerouac years traveling american continent friend neal cassady sideburned hero snowy west sal paradise dean moriarty two roam country quest self knowledge experience kerouac love america compassion humanity sense language jazz combine make road inspirational work lasting importance classic novel freedom longing defined meant beat inspired every generation since initial publication road,travel,on the road
Looking for Alaska,miles pudge halter done safe life home whole life one big non event obsession famous last words made crave great perhaps even francois rabelais poet heads sometimes crazy anything boring world culver creek boarding school life becomes opposite safe hall alaska young gorgeous clever funny sexy self destructive screwed utterly fascinating alaska young event unto pulls pudge world launches great perhaps steals heart nothing ever looking alaska,romance,looking for alaska
The Shadow of the Wind,barcelona city slowly heals war wounds daniel antiquarian book dealer son mourns loss mother finds solace mysterious book entitled shadow wind one julian carax sets find author works makes shocking discovery someone systematically destroying every copy every book carax written fact daniel may last carax books existence soon daniel seemingly innocent quest opens door one barcelona darkest secrets epic story murder madness doomed love back cover shadow wind,fantasy,the shadow of the wind
The Curious Incident of the Dog in the Night-Time,christopher john francis boone knows countries world capitals every prime number relates well animals understanding human emotions stand touched detests color yellow although gifted superbly logical brain fifteen year old christopher everyday interactions admonishments little meaning lives patterns rules diagram kept pocket one day neighbor dog wellington killed carefully constructive universe threatened christopher sets solve murder style favourite logical detective sherlock holmes follows makes novel funny poignant fascinating portrayal person whose curse blessing mind perceives world entirely literally curious incident dog night time,psychology,the curious incident of the dog in the night-time
The Unbearable Lightness of Being,unbearable lightness milan kundera tells story young woman love man torn love incorrigible womanizing one mistresses humbly faithful lover magnificent novel juxtaposes geographically distant places brilliant playful reflections variety styles take place perhaps major achievement one world truly great writers unbearable lightness,romance,the unbearable lightness of being
The Name of the Rose,year benedictines wealthy italian abbey suspected heresy brother william baskerville arrives investigate delicate mission suddenly overshadowed seven bizarre deaths brother william turns detective tools logic aristotle theology aquinas empirical insights roger bacon sharpened glistening edge wry humor ferocious curiosity collects evidence deciphers secret symbols coded manuscripts digs eerie labyrinth abbey interesting things happen night name rose,crime,the name of the rose
